,img_id,img_repr,label,label_id
0,images/image_folders/thorragnarok/thorragnarok_37.jpg,[ 0.        6.237122 15.648483  2.596863 ...  0.        5.758714  0.        0.538411],thorragnarok,20
1,images/image_folders/thorragnarok/thorragnarok_10.jpg,[0.       2.33268  0.       1.611229 ... 0.       0.       4.339653 4.585022],thorragnarok,20
2,images/image_folders/thorragnarok/thorragnarok_67.jpg,[0.       8.100173 0.       0.       ... 5.683667 0.       0.       0.      ],thorragnarok,20
3,images/image_folders/thorragnarok/thorragnarok_23.jpg,[3.422454 0.       0.       3.959728 ... 2.939396 0.923246 0.20328  0.      ],thorragnarok,20
4,images/image_folders/thorragnarok/thorragnarok_30.jpg,[2.991441 0.       0.       0.       ... 0.       0.       3.469126 0.229942],thorragnarok,20
5,images/image_folders/thorragnarok/thorragnarok_65.jpg,[0.       0.086719 5.751634 1.309881 ... 6.031228 0.       0.       0.      ],thorragnarok,20
6,images/image_folders/thorragnarok/thorragnarok_69.jpg,[3.498408 0.       6.2228   0.698869 ... 4.395959 0.       0.       0.      ],thorragnarok,20
7,images/image_folders/thorragnarok/thorragnarok_61.jpg,[6.4212   0.       0.       0.       ... 0.       1.239888 1.804388 0.      ],thorragnarok,20
8,images/image_folders/thorragnarok/thorragnarok_19.jpg,[1.293267 0.       7.515826 4.053169 ... 3.644109 0.       0.       0.      ],thorragnarok,20
9,images/image_folders/thorragnarok/thorragnarok_5.jpg,[0.       3.323083 5.147507 6.354373 ... 0.829135 1.11427  3.962642 1.623921],thorragnarok,20
10,images/image_folders/thorragnarok/thorragnarok_8.jpg,[0.       8.34295  3.805539 0.       ... 6.06785  0.       0.       0.      ],thorragnarok,20
11,images/image_folders/thorragnarok/thorragnarok_39.jpg,[0.       0.       0.       0.094392 ... 2.847191 0.       0.       0.      ],thorragnarok,20
12,images/image_folders/thorragnarok/thorragnarok_35.jpg,[5.883417 0.       0.       0.892453 ... 0.       2.987494 2.731587 2.419651],thorragnarok,20
13,images/image_folders/thorragnarok/thorragnarok_55.jpg,[3.16115  7.125517 1.376761 0.       ... 3.516574 0.868152 0.       0.      ],thorragnarok,20
14,images/image_folders/thorragnarok/thorragnarok_63.jpg,[0.       8.495151 9.015964 0.       ... 0.848959 3.71308  0.       4.756789],thorragnarok,20
15,images/image_folders/thorragnarok/thorragnarok_31.jpg,[3.077541 1.506844 0.       0.       ... 1.910875 6.513323 3.15417  0.255511],thorragnarok,20
16,images/image_folders/thorragnarok/thorragnarok_71.jpg,[2.274271 2.16773  0.       0.       ... 1.863769 5.723421 0.       1.866492],thorragnarok,20
17,images/image_folders/thorragnarok/thorragnarok_33.jpg,[2.166209 0.       3.001693 0.       ... 0.       0.       1.237283 0.621232],thorragnarok,20
18,images/image_folders/thorragnarok/thorragnarok_4.jpg,[3.906433 1.850568 0.       4.24509  ... 2.398833 0.       0.       0.      ],thorragnarok,20
19,images/image_folders/thorragnarok/thorragnarok_53.jpg,[0.       2.857511 7.643366 0.       ... 0.       3.411534 0.801463 0.      ],thorragnarok,20
20,images/image_folders/thorragnarok/thorragnarok_20.jpg,[ 1.637659  0.        0.        0.       ...  2.783095 12.160751  0.        0.      ],thorragnarok,20
21,images/image_folders/thorragnarok/thorragnarok_56.jpg,[3.430865 4.401821 0.       0.       ... 1.14183  0.       0.       1.12076 ],thorragnarok,20
22,images/image_folders/thorragnarok/thorragnarok_32.jpg,[3.228489 0.       0.       0.       ... 0.074136 0.507216 0.392337 1.898602],thorragnarok,20
23,images/image_folders/thorragnarok/thorragnarok_21.jpg,[0.       3.715019 0.       1.818411 ... 3.430004 0.       0.       4.810254],thorragnarok,20
24,images/image_folders/thorragnarok/thorragnarok_58.jpg,[1.762434 0.766457 2.692527 0.       ... 0.       1.567468 5.04325  0.183342],thorragnarok,20
25,images/image_folders/thorragnarok/thorragnarok_3.jpg,[8.644458 5.888828 0.152085 0.       ... 0.       0.       8.161487 0.841709],thorragnarok,20
26,images/image_folders/thorragnarok/thorragnarok_17.jpg,[1.550206 0.       0.       7.464558 ... 3.924246 0.       0.       1.808246],thorragnarok,20
27,images/image_folders/thorragnarok/thorragnarok_42.jpg,[0.       2.147081 3.40651  0.998957 ... 1.392805 0.       0.       0.945689],thorragnarok,20
28,images/image_folders/thorragnarok/thorragnarok_24.jpg,[2.480803 0.       0.       0.       ... 0.       3.253437 3.149978 0.      ],thorragnarok,20
29,images/image_folders/thorragnarok/thorragnarok_40.jpg,[ 0.        0.       12.215864  0.       ...  0.        0.        0.        4.242842],thorragnarok,20
30,images/image_folders/thorragnarok/thorragnarok_36.jpg,[0.       1.394096 0.       0.       ... 0.       0.       3.600431 6.898558],thorragnarok,20
31,images/image_folders/thorragnarok/thorragnarok_57.jpg,[3.093221 0.       6.471823 0.       ... 3.622439 1.870811 0.       3.133046],thorragnarok,20
32,images/image_folders/thorragnarok/thorragnarok_49.jpg,[1.909055 0.       0.       0.       ... 0.       4.058662 8.919214 0.      ],thorragnarok,20
33,images/image_folders/thorragnarok/thorragnarok_27.jpg,[0.       3.287215 0.562669 0.       ... 0.       0.       0.       0.      ],thorragnarok,20
34,images/image_folders/thorragnarok/thorragnarok_70.jpg,[1.968744 2.713261 0.       3.554406 ... 0.       2.219418 0.       0.      ],thorragnarok,20
35,images/image_folders/thorragnarok/thorragnarok_54.jpg,[0.       4.222581 0.       8.646459 ... 5.418227 0.       0.       3.480263],thorragnarok,20
36,images/image_folders/thorragnarok/thorragnarok_66.jpg,[4.633135 0.       0.       0.       ... 0.       0.       0.       0.323312],thorragnarok,20
37,images/image_folders/thorragnarok/thorragnarok_43.jpg,[ 0.        6.376944 11.120503  9.681138 ...  0.        8.530051  0.36604   0.      ],thorragnarok,20
38,images/image_folders/thorragnarok/thorragnarok_52.jpg,[0.       1.638619 3.892634 1.700966 ... 0.       0.029218 6.20147  2.907451],thorragnarok,20
39,images/image_folders/thorragnarok/thorragnarok_28.jpg,[3.894816 1.624765 0.       0.       ... 0.       4.42356  4.253249 3.041934],thorragnarok,20
40,images/image_folders/thorragnarok/thorragnarok_11.jpg,[0.       0.       5.028483 1.368756 ... 0.       3.047845 4.016144 0.749854],thorragnarok,20
41,images/image_folders/thorragnarok/thorragnarok_1.jpg,[0.       3.13936  2.6692   7.280978 ... 0.       0.       5.261624 4.721706],thorragnarok,20
42,images/image_folders/thorragnarok/thorragnarok_64.jpg,[4.088231 0.       5.71518  1.113375 ... 4.652879 0.       0.       0.      ],thorragnarok,20
43,images/image_folders/thorragnarok/thorragnarok_14.jpg,[0.       2.579231 0.       2.003174 ... 0.246753 0.       0.29355  0.      ],thorragnarok,20
44,images/image_folders/thorragnarok/thorragnarok_34.jpg,[10.55303   0.        0.        0.       ...  0.524647  4.754353  5.235217  0.      ],thorragnarok,20
45,images/image_folders/thorragnarok/thorragnarok_13.jpg,[0.       0.       2.050449 0.78977  ... 2.744077 2.528823 1.715559 4.980912],thorragnarok,20
46,images/image_folders/thorragnarok/thorragnarok_16.jpg,[1.410178 1.009552 0.188877 0.       ... 0.       0.       5.737597 0.      ],thorragnarok,20
47,images/image_folders/thorragnarok/thorragnarok_59.jpg,[0.       0.       0.       3.515414 ... 0.       0.       2.545318 3.357664],thorragnarok,20
48,images/image_folders/thorragnarok/thorragnarok_46.jpg,[6.708686 0.       0.       3.541075 ... 0.       0.       0.171103 5.652963],thorragnarok,20
49,images/image_folders/thorragnarok/thorragnarok_6.jpg,[0.       0.       6.109677 0.       ... 6.897099 2.250941 0.       0.      ],thorragnarok,20
50,images/image_folders/thorragnarok/thorragnarok_29.jpg,[0.       5.313883 5.432254 0.342635 ... 3.511189 4.562959 0.       4.277767],thorragnarok,20
51,images/image_folders/thorragnarok/thorragnarok_60.jpg,[2.028983 0.       7.899998 0.       ... 7.29404  3.547707 1.790361 0.      ],thorragnarok,20
52,images/image_folders/thorragnarok/thorragnarok_38.jpg,[ 1.815987  0.        0.       10.835353 ...  0.        0.        0.        3.847455],thorragnarok,20
53,images/image_folders/thorragnarok/thorragnarok_41.jpg,[8.153918 0.       0.       0.       ... 4.284975 3.390604 1.818989 0.      ],thorragnarok,20
54,images/image_folders/thorragnarok/thorragnarok_45.jpg,[0.       1.07013  0.717919 5.414881 ... 3.979794 0.       0.       0.      ],thorragnarok,20
55,images/image_folders/thorragnarok/thorragnarok_47.jpg,[0.       0.       6.836491 3.328014 ... 3.639709 2.744622 0.       3.062997],thorragnarok,20
56,images/image_folders/thorragnarok/thorragnarok_9.jpg,[0.       3.938821 4.013812 2.594779 ... 4.241955 7.933973 0.       0.      ],thorragnarok,20
57,images/image_folders/thorragnarok/thorragnarok_2.jpg,[0.       5.034602 8.318902 0.       ... 0.       1.88225  0.       0.      ],thorragnarok,20
